339507,-28163
339510,-25928
339514,-25931
339517,-28930
339520,-31395
339523,-31586
339526,-29143
339529,-26584
339532,-25445
339536,-27008
339539,-30463
339542,-31910
339545,-30301
339548,-26994
339551,-24977
339554,-26840
339558,-29939
339561,-32046
339564,-31197
339567,-27904
339570,-25253
339573,-25376
339576,-28539
339580,-31284
339583,-31671
339586,-29054
339589,-26161
339592,-25632
339595,-27741
339598,-30912
339602,-32161
339605,-30264
339608,-27095
339611,-25114
339614,-26545
339617,-29906
339620,-32105
339623,-31302
339627,-28251
339630,-25830
339633,-25913
339636,-28410
339639,-31307
339642,-31852
339645,-29575
339649,-26308
339652,-25369
339655,-27708
339658,-30923
339661,-32160
339664,-30479
339667,-27178
339671,-25189
339674,-26068
339677,-29367
339680,-32248
339683,-32001
339686,-28450
339689,-25297
339693,-25546
339696,-28359
339699,-31568
339702,-32083
339705,-29706
339708,-26291
339711,-24896
339715,-27079
339718,-30566
339721,-32481
339724,-30824
339727,-27161
339730,-25074
339733,-26019
339737,-29312
339740,-32265
339743,-31690
339746,-28321
339749,-25398
339752,-25451
339755,-28482
339759,-31513
339762,-31976
339765,-29873
339768,-26722
339771,-25433
339774,-26814
339777,-30353
339781,-32512
339784,-31345
339787,-27810
339790,-25319
339793,-25894
339796,-29131
339799,-32118
339802,-31953
339806,-28798
339809,-25509
339812,-24924
339815,-27763
339818,-31604
339821,-32707
339824,-30002
339828,-25775
339831,-24506
339834,-26573
339837,-30374
339840,-32677
339843,-31152
339846,-27573
339850,-25004
339853,-25629
339856,-29158
339859,-32401
339862,-32130
339865,-28703
339868,-25450
339872,-25141
339875,-27780
339878,-31579
339881,-32478
339884,-30203
339887,-26664
339890,-24569
339894,-26144
339897,-30061
339900,-32430
339903,-31555
339906,-27944
339909,-25055
339912,-25564
339916,-28709
339919,-31790
339922,-32251
339925,-29252
339928,-25641
339931,-24900
339934,-27331
339938,-31328
339941,-32537
339944,-30292
339947,-26689
339950,-24760
339953,-26553
339956,-30594
339960,-32685
339963,-31676
339966,-27925
339969,-24776
339972,-25211
339975,-28700
339978,-31701
339982,-32080
339985,-29167
339988,-25568
339991,-24727
339994,-27480
339997,-31287
340000,-32726
340004,-30637
340007,-26606
340010,-24335
340013,-25562
340016,-29283
340019,-32204
340022,-31693
340025,-28216
340029,-25009
340032,-24876
340035,-28617
340038,-32176
