389994,335819
389997,345660
390000,351805
390003,352250
390006,350793
390010,349318
390013,346675
390016,344182
390019,339415
390022,333924
390025,331329
390028,335156
390032,344581
390035,353064
390038,355045
390041,349340
390044,339711
390047,333274
390050,333637
390054,340604
390057,349749
390060,354138
390063,351379
390066,344600
390069,338721
390072,337422
390076,339837
390079,343556
390082,345847
390085,345602
390088,344361
390091,344252
390094,345139
390098,345318
390101,343567
390104,340294
390107,338343
390110,340478
390113,345683
390116,350218
390120,350737
390123,346692
390126,340165
390129,335628
390132,336425
390135,341814
390138,347511
390142,349838
390145,347467
390148,342894
390151,339325
390154,339032
390157,341481
390160,343654
390163,343845
390167,343608
390170,343599
390173,344200
390176,344605
390179,342870
390182,339933
390185,337682
390189,338753
390192,343402
390195,348765
390198,351274
390201,348647
390204,342280
390207,336941
390211,336428
390214,340481
390217,346000
390220,348599
390223,347548
390226,345047
390229,342934
390233,342283
390236,343150
390239,343333
390242,342730
390245,341839
390248,342728
390251,345099
390255,346724
390258,346559
390261,344614
390264,341327
390267,339282
390270,340627
390273,344042
390277,346817
390280,347250
390283,344571
390286,341066
390289,339107
390292,339762
390295,342647
390299,345044
390302,345627
390305,344688
390308,343063
390311,341902
390314,342145
390317,342776
390321,342803
390324,341732
390327,341103
390330,341862
390333,344593
390336,346904
390339,346899
390343,344492
390346,341473
390349,340160
390352,341595
390355,344352
390358,346811
390361,346728
390365,343375
390368,339912
390371,339301
390374,341386
390377,345145
390380,347586
390383,347191
390387,344614
390390,342475
390393,343424
390396,344095
390399,342410
390402,339531
390405,337586
390408,339337
390412,344738
390415,350587
390418,353084
390421,348991
390424,340850
390427,335015
390430,335230
390434,340599
390437,346820
390440,349385
390443,347290
390446,342637
390449,339766
390452,340783
390456,343610
390459,344947
390462,343326
390465,340941
390468,340852
390471,343315
390474,347138
390478,348471
390481,345944
390484,341193
390487,337814
390490,338663
390493,342798
390496,347265
390500,347806
390503,344823
390506,340772
390509,339017
390512,340870
390515,345149
390518,347404
390522,346267
390525,342962
390528,339983
390531,340240
390534,343107
390537,345796
390540,346097
390544,343556
390547,340977
390550,340672
390553,342691
390556,344624
390559,345153
390562,343532
390566,341151
390569,340480
390572,342621
390575,345590
390578,347203
390581,346042
390584,342843
390588,340494
390591,340273
390594,341990
390597,344465
390600,345752
390603,345037
390606,343536
390610,342827
390613,342926
390616,343573
390619,343772
390622,342695
390625,341700
390628,342243
390632,343974
390635,345491
390638,345852
390641,343965
390644,341754
390647,340823
390650,341946
390653,344057
390657,345232
390660,344875
390663,342830
390666,341135
390669,341390
390672,342959
390675,344630
390679,345237
390682,344066
390685,342505
390688,342400
390691,343327
390694,343982
390697,344311
390701,343246
390704,341429
390707,341424
390710,343139
390713,345428
390716,346281
390719,344952
390723,342429
390726,340522
390729,340931
390732,343404
390735,345907
390738,346050
390741,343749
390745,341170
390748,340407
390751,341732
390754,344389
390757,345772
390760,345155
390763,343494
390767,342419
390770,342946
390773,344861
390776,345712
390779,344075
390782,341084
390785,338735
390789,339990
390792,343793
390795,347388
390798,349103
390801,346354
390804,341213
390807,338282
